Y,X1,X2,X3,X4
1,0.810365788638592,-0.383700615968571,1.40619278606027,NA
1,0.56678550504148,0.388296989058163,1.65984159940854,NA
1,NA,-1.90860314599236,1.65399753511883,NA
1,0.15885583916679,NA,1.64957692706957,NA
1,0.366913587786257,1.00683982807681,1.68216467252932,1
1,0.585923112928867,NA,1.29464723030105,0
1,0.368328579002991,NA,1.60693805385381,NA
1,0.364848700817674,-0.272566536496273,1.57285300968215,0
0,0.397613130044192,0.391469117731572,1.940154571319,NA
0,0.253966748481616,0.10041424970412,1.88220421178266,NA
1,NA,-0.787713540812573,1.47103649913333,NA
1,0.114190412452444,NA,1.4390190821141,1
1,0.0630974606610835,0.40990691548359,1.12351829046384,NA
1,0.744088001316413,NA,1.10107238427736,NA
1,NA,0.451586081695056,1.15883618011139,NA
1,0.831290488131344,NA,1.79025141289458,NA
1,0.0767839199397713,0.42092439842044,1.87727243267,1
1,0.0776986021082848,NA,1.39734675525688,1
1,NA,-1.21466464806963,1.07907746220008,0
0,NA,-0.235619057009147,1.923728691414,NA
1,0.373756297631189,0.0387482382683086,1.94360560644418,NA
1,0.222412076080218,NA,1.86535098170862,0
1,NA,-0.658208137392384,1.5577928670682,NA
1,0.262437297962606,0.362805712874197,1.05907088611275,NA
1,0.0351990009658039,0.635243307771862,1.3371827728115,1
1,0.750602176878601,-1.008049721587,1.24319855915383,NA
1,0.708759864093736,-1.42422825742418,1.89290448697284,0
1,NA,0.322621200471662,1.44668995216489,NA
0,0.381682568928227,0.805556889755458,1.26761921867728,1
1,0.633759457850829,-0.719234411838176,1.77076364238746,NA
1,0.921164481434971,NA,1.3722441077698,NA
1,NA,NA,1.66192598198541,NA
1,NA,-0.879337836132568,1.5653103266377,1
1,0.19740483770147,0.769733550044139,1.09229163872078,NA
0,0.873479034984484,0.42312727242378,1.03785642329603,NA
1,NA,0.758178227265376,1.15104316594079,NA
1,0.29155957675539,0.671959185099912,1.80564119829796,1
1,0.340925849042833,-0.41688895654264,1.30042201722972,NA
1,NA,NA,1.9505880898796,NA
0,0.6660458331462,NA,1.05335684423335,NA
1,NA,0.882643596135842,1.27500892616808,0
1,0.320133401313797,-0.659695966905567,1.18347856798209,NA
1,0.620710127521306,0.410756001060001,1.95932970219292,NA
1,0.276494880206883,0.433420783727995,1.0348868239671,0
1,0.663051242008805,0.0391406488722318,1.99595099454746,NA
1,0.238581121666357,-1.05675448723104,1.10213722265325,NA
1,NA,0.117917548224734,1.00066599878483,1
1,0.941205802606419,-0.153261302342056,1.47304848069325,NA
1,0.551214322913438,0.0147935153425554,1.34094424685463,NA
1,0.316002635052428,NA,1.92237936751917,0
1,0.988866926170886,0.999435204871631,1.50448424648494,NA
1,0.31831756955944,0.667159061044582,1.20068423752673,0
1,NA,-0.866823302084306,1.47362078703009,NA
1,0.693732980405912,NA,1.97784123732708,0
1,0.762371691642329,-0.0332803337098436,1.48206309485249,1
1,0.117344058351591,NA,1.13791917823255,NA
1,NA,NA,1.21416899352334,NA
1,NA,NA,1.38215470663272,0
1,0.501738182967529,NA,1.23523719189689,0
1,0.688122420804575,NA,1.0629047495313,NA
1,0.140307527268305,0.307766948532217,1.97422906896099,0
0,0.501060862559825,1.95054139828842,1.33487043064088,NA
1,0.570133033907041,NA,1.82061089761555,NA
1,0.240385110024363,-1.56476985106995,1.10250302683562,NA
1,0.506028413306922,NA,1.29051191243343,NA
1,0.542507010046393,NA,1.19193754857406,1
1,NA,-1.46399778138671,1.03838171227835,NA
1,0.420122774317861,NA,1.17613945482299,NA
1,NA,-0.45891714551104,1.81913024955429,0
0,0.295964760705829,NA,1.67671072809026,NA
1,0.0151347571518272,-1.85151002049815,1.96006536693312,NA
1,NA,NA,1.60957496915944,NA
1,0.573023887816817,NA,1.69798614294268,NA
0,NA,NA,1.60650714696385,1
1,NA,-1.05160673661486,1.0307667015586,NA
1,0.0910041115712374,-0.50466420294562,1.24038845347241,NA
1,NA,NA,1.19801059993915,1
1,0.153408436337486,-1.81284788979284,1.83960200776346,NA
1,NA,0.903895194715284,1.70205113105476,1
1,0.765821658773348,NA,1.26267875148915,NA
1,NA,NA,1.40709365112707,1
1,0.215406768256798,0.0316813073378242,1.61601814534515,0
1,0.985013254219666,NA,1.72355991578661,1
1,NA,0.682402102025868,1.31611164752394,NA
0,NA,0.499498027884816,1.20737098879181,NA
1,0.614890694851056,NA,1.74125043815002,NA
0,0.102015776559711,NA,1.19493472389877,1
0,NA,NA,1.94490691833198,NA
1,0.945977190276608,NA,1.22858243342489,0
1,0.16837164061144,0.628793182824703,1.56273426301777,1
1,0.940443670377135,-0.223643501815124,1.6782889100723,1
1,NA,-0.129699101994748,1.00540648307651,NA
1,0.904606799595058,NA,1.07929497375153,NA
1,0.587129863211885,-0.709204243514037,1.94213311094791,0
1,0.75830484344624,0.290989412972828,1.76098561170511,NA
1,NA,-2.09307517955269,1.24216480366886,NA
1,0.472830667393282,NA,1.78976640454493,1
1,0.877124430378899,NA,1.94153320393525,NA
1,0.314042346086353,0.321296803403996,1.77079574856907,NA
1,0.149531934177503,NA,1.07719190465286,NA
1,0.223162897629663,1.42123350473554,1.64635379659012,0
1,NA,NA,1.09564659791067,1
1,NA,NA,1.06183659960516,NA
1,0.0369926379062235,0.0279714153537719,1.37150819436647,1
1,0.00453957379795611,NA,1.82972874003462,1
1,NA,NA,1.92316499142908,NA
1,NA,-1.80443704659746,1.86520558292978,NA
1,0.218002447625622,NA,1.45960799627937,NA
1,0.992598404642195,NA,1.68201534287073,1
1,NA,-1.70596975462398,1.73203723272309,NA
1,NA,-0.968523146381618,1.71256325184368,NA
1,NA,-2.05336943437763,1.00758863799274,0
1,NA,-1.26463810976314,1.15413213591091,NA
1,0.69944930379279,NA,1.86594357597642,1
1,NA,NA,1.65216453932226,NA
1,0.266961224842817,NA,1.91562418569811,NA
1,NA,NA,1.73243202688172,1
0,0.285796301672235,NA,1.77700112713501,1
0,NA,NA,1.75298685324378,1
1,NA,-0.562309810025394,1.25002259667963,NA
0,0.394845155766234,1.28922458758274,1.67110843001865,NA
1,NA,NA,1.34346116823144,NA
1,0.41557173198089,-0.290197319169032,1.37291118432768,NA
0,0.330785000696778,NA,1.5641282023862,0
1,NA,-0.835817737343787,1.66041067731567,NA
1,0.62533056200482,-0.34628482724965,1.27499250159599,0
1,0.322132066590711,NA,1.49048814666457,NA
1,0.681479366729036,0.264509556889708,1.15598401264288,0
1,NA,0.98513825651901,1.45902964402921,NA
1,0.0426461454480886,NA,1.81725527299568,NA
1,0.323818552307785,-0.841871845076624,1.9948407644406,NA
1,NA,-1.14777966402701,1.8930728060659,NA
1,0.666458572261035,-0.48291986000027,1.12142556114122,NA
1,0.302042964147404,0.797553207826388,1.5119802702684,0
1,NA,NA,1.05202824389562,NA
1,0.955319772474468,NA,1.41949574952014,NA
0,NA,NA,1.5798196720425,NA
1,0.585992041509598,0.988812937350383,1.94477613084018,0
0,NA,NA,1.0793306059204,1
1,NA,NA,1.11314595630392,0
1,0.0828301110304892,1.09589563111449,1.01069077290595,0
1,NA,NA,1.44093497213908,NA
1,NA,NA,1.84257165412419,NA
1,0.447741470066831,0.74974709258723,1.64243659493513,NA
1,0.978528244886547,0.161998363184811,1.09453326486982,1
1,0.387994754593819,0.342159567273165,1.98535747872666,NA
1,0.939624266000465,-0.0957009257501716,1.96884056250565,NA
1,NA,-0.801253788176178,1.33150927815586,NA
1,0.13610186916776,-0.794016691314883,1.39852859429084,NA
0,NA,NA,1.63809043890797,NA
1,NA,NA,1.6943598499056,NA
1,NA,-0.616666484134575,1.02757176058367,NA
1,0.92910912563093,NA,1.07957704528235,NA
1,NA,NA,1.6788927896414,NA
1,0.255653942236677,NA,1.01104551274329,0
1,NA,0.734609746462044,1.17850679974072,1
0,0.208524548681453,NA,1.39614132186398,NA
1,NA,NA,1.12639886233956,NA
1,0.754087772918865,NA,1.21269278554246,1
1,NA,NA,1.13343154778704,0
1,NA,-1.19954133631173,1.02841651113704,NA
1,0.788040562532842,NA,1.29472125624306,1
1,0.503532567759976,NA,1.96402588789351,NA
1,0.26262197131291,-0.50784997881354,1.54104855633341,0
1,NA,NA,1.31249208608642,NA
1,0.270972282392904,2.17792836680855,1.02256131614558,NA
0,0.63150255032815,NA,1.38709343038499,1
1,NA,NA,1.57932549831457,NA
1,0.660974628292024,0.327388277489082,1.04845432238653,NA
1,NA,-0.117966299183265,1.88221815088764,NA
1,0.511364460922778,0.567830817641848,1.70966356201097,NA
1,NA,NA,1.99403672246262,1
1,NA,NA,1.62708569737151,NA
1,0.31044384627603,0.645582851387628,1.51458080415614,NA
1,NA,-1.15063914963976,1.24383786739781,NA
1,0.239691448863596,0.30950812383154,1.43557392782532,0
1,0.569740420673043,0.245666846227845,1.45195100572892,NA
1,0.725997920846567,NA,1.67923804931343,NA
1,0.879601674852893,1.19305546634618,1.22548117116094,1
1,0.152624119073153,0.0712660525133808,1.33443699800409,NA
1,0.364062120672315,-0.585845030044297,1.96091794106178,NA
1,0.160966742783785,-1.01651863603189,1.06284833047539,0
1,0.92786922887899,0.0364416269042161,1.83299282356165,0
1,0.603206296917051,-1.7214235326195,1.13229410164058,NA
1,0.489445646060631,0.444895737046375,1.69167793146335,NA
1,0.0736322621814907,NA,1.24253841582686,1
1,0.484753436408937,0.507841108693838,1.44242438930087,NA
1,NA,-0.657873501351422,1.81936881551519,0
1,NA,1.27190590573662,1.22134679346345,NA
1,0.614579186309129,0.867234257061005,1.48396382154897,NA
1,0.841023495886475,NA,1.71272251335904,1
1,0.699865138391033,-0.153252704694803,1.80294633749872,0
0,0.51352675887756,1.00389799386545,1.10232829255983,NA
1,0.295080923475325,NA,1.96223266306333,0
0,NA,-0.0512182798193162,1.61769044282846,NA
1,0.549574834061787,0.236199339023492,1.51650738250464,NA
1,0.260357699589804,NA,1.441224984359,1
1,0.831151317339391,NA,1.08998902281746,NA
1,0.894336557714269,0.294097674895042,1.48002121387981,NA
1,0.981394270202145,-0.288232681041018,1.37926295795478,0
1,0.87267213431187,-2.30849892169691,1.53033899795264,NA
1,0.925344951217994,0.761434559112078,1.83452437398955,NA
0,NA,NA,1.54937333520502,NA
